contact,job,month,day_of_week,education,marital,grupo_edad,yes
telephone,blue-collar,may,mon,basic.4y,divorced,entre 40 y 49 años,yes
telephone,entrepreneur,may,mon,university.degree,married,entre 40 y 49 años,yes
telephone,technician,may,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,technician,may,mon,professional.course,married,entre 40 y 49 años,yes
telephone,blue-collar,may,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,blue-collar,may,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,housemaid,may,mon,basic.9y,married,entre 30 y 39 años,yes
telephone,services,may,tue,high.school,married,entre 40 y 49 años,yes
telephone,technician,may,tue,professional.course,married,entre 40 y 49 años,yes
telephone,management,may,tue,university.degree,married,entre 40 y 49 años,yes
telephone,services,may,tue,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,high.school,married,entre 40 y 49 años,yes
telephone,housemaid,may,tue,professional.course,married,entre 40 y 49 años,yes
telephone,admin.,may,wed,university.degree,single,entre 30 y 39 años,yes
telephone,student,may,wed,basic.9y,single,Menor de 30 años ,yes
telephone,entrepreneur,may,wed,university.degree,married,entre 40 y 49 años,yes
telephone,blue-collar,may,wed,basic.9y,single,entre 30 y 39 años,yes
telephone,blue-collar,may,wed,basic.4y,married,entre 40 y 49 años,yes
telephone,entrepreneur,may,wed,basic.4y,married,entre 40 y 49 años,yes
telephone,admin.,may,wed,university.degree,divorced,entre 50 y 59 años,yes
telephone,services,may,thu,professional.course,married,entre 40 y 49 años,yes
telephone,blue-collar,may,thu,basic.9y,single,entre 40 y 49 años,yes
telephone,blue-collar,may,thu,professional.course,married,entre 30 y 39 años,yes
telephone,technician,may,thu,university.degree,single,entre 40 y 49 años,yes
telephone,admin.,may,thu,university.degree,married,entre 50 y 59 años,yes
telephone,technician,may,thu,high.school,married,entre 50 y 59 años,yes
telephone,services,may,thu,basic.6y,married,entre 30 y 39 años,yes
telephone,blue-collar,may,thu,basic.9y,married,entre 50 y 59 años,yes
telephone,entrepreneur,may,thu,high.school,divorced,entre 30 y 39 años,yes
telephone,services,may,thu,high.school,divorced,entre 40 y 49 años,yes
telephone,services,may,fri,high.school,married,entre 30 y 39 años,yes
telephone,management,may,fri,basic.9y,married,entre 30 y 39 años,yes
